"131","Fat free milk (skim)","1.00000","cup",".00000",".00000",".00000",".99960",".00000",".00000","83.30000"
"132","Fat free milk (skim)","8.00000","fluid ounces",".00000",".00000",".00000",".99878",".00000",".00000","83.23200"
"133","Low lactose lowfat (1%) milk","1.00000","cup",".00000",".00000",".00000",".99308",".00000",".00000","102.48000"
"134","Low lactose lowfat (1%) milk","8.00000","fluid ounces",".00000",".00000",".00000",".99308",".00000",".00000","102.48000"
"135","Low lactose fat free (skim) milk","1.00000","cup",".00000",".00000",".00000",".99960",".00000",".00000","83.30000"
"136","Low lactose fat free (skim) milk","8.00000","fluid ounces",".00000",".00000",".00000",".99878",".00000",".00000","83.23200"
"137","Low lactose reduced fat (2%) milk","1.00000","cup",".00000",".00000",".00000","1.00040",".00000",".00000","122.00000"
"138","Low lactose reduced fat (2%) milk","8.00000","fluid ounces",".00000",".00000",".00000","1.00040",".00000",".00000","122.00000"
"139","Low lactose whole milk","1.00000","cup",".00000",".00000",".00000","1.00040",".00000",".00000","146.40000"
"140","Low lactose whole milk","8.00000","fluid ounces",".00000",".00000",".00000","1.00040",".00000",".00000","146.40000"
"141","Buttermilk","1.00000","cup",".00000",".00000",".00000",".99960",".00000",".00000","98.00000"
"142","Buttermilk","8.00000","fluid ounces",".00000",".00000",".00000",".99878",".00000",".00000","97.92000"
"143","Nonfat dry milk, reconstituted","1.00000","cup",".00000",".00000",".00000",".99960",".00000",".00000","80.85000"
"144","Nonfat dry milk, reconstituted","8.00000","fluid ounces",".00000",".00000",".00000",".99878",".00000",".00000","80.78400"
"145","Sweetened condensed milk",".25000","cup",".00000",".00000",".00000",".33966",".00000",".00000","245.56500"
"146","Soymilk","1.00000","cup",".00000",".00000",".00000",".00000",".00000",".00000","98.00000"
"147","Soymilk","8.00000","fluid ounces",".00000",".00000",".00000",".00000",".00000",".00000","98.00000"
"148","Flavored soymilk","1.00000","cup",".00000",".00000",".00000",".00000",".00000",".00000","117.60000"
"149","Plain yogurt, whole milk","1.00000","8 oz container",".00000",".00000",".00000",".92616",".00000",".00000","138.47000"
"150","Plain yogurt, fat free","1.00000","8 oz container",".00000",".00000",".00000",".92616",".00000",".00000","127.12000"
"151","Flavored yogurt, whole milk","1.00000","8 oz container",".00000",".00000",".00000",".92616",".00000",".00000","229.27000"
"152","Flavored yogurt, low fat","1.00000","8 oz container",".00000",".00000",".00000",".92616",".00000",".00000","192.95000"
"153","Flavored yogurt, fat-free sugar-free","1.00000","8 oz container",".00908",".00000",".00000",".92616",".00000",".00000","97.61000"
"154","Fruit yogurt, whole milk","1.00000","6 oz container",".00000",".00000",".05780",".69360",".00000",".00000","202.30000"
"155","Fruit yogurt, low fat","1.00000","6 oz container",".00000",".00000",".05780",".69360",".00000",".00000","173.40000"
"156","Fruit yogurt, fat-free sugar-free","1.00000","6 oz container",".00000",".00000",".19210",".70550",".00000",".00000","86.70000"
"157","Frozen yogurt, low fat","1.00000","cup",".00000",".00000",".00000",".87400",".00000",".00000","214.00000"
"158","Frozen yogurt, low fat sugar free","1.00000","cup","1.52892",".00000",".00000",".86118",".00000",".00000","199.02000"
"159","Frozen yogurt, whole milk","1.00000","cup",".00000",".00000",".00000",".60900",".00000",".00000","220.98000"
"160","Chocolate milk, whole milk","1.00000","cup (1 school carton)",".00000",".00000",".00000","1.00000",".00000",".00000","207.50000"
"161","Chocolate milk, 2% (reduced fat)","1.00000","cup (1 school carton)",".00000",".00000",".00000","1.00000",".00000",".00000","175.00000"
"162","Chocolate milk, fat free (skim)","1.00000","cup (1 school carton)",".00000",".00000",".00000","1.00000",".00000",".00000","140.00000"
"163","Chocolate milk, 1% (low fat)","1.00000","cup (1 school carton)",".00000",".00000",".00000","1.00000",".00000",".00000","157.50000"
"164","Instant cocoa (with water)","1.00000","packet dry mix with water",".00000",".00000",".00000",".18746",".00000",".00000","113.30000"
"165","Instant cocoa, diet (with water)","1.00000","packet dry mix with water",".25807",".00000",".00000",".25019",".00000",".00000","57.13000"
"166","Malted milk (Ovaltine)","1.00000","cup",".18330",".00000",".00000",".94705",".00000",".00000","173.90000"
"167","Milk shake (whole milk)","1.00000","milkshake (10 fl oz)",".00000",".00000",".00000",".76410",".00000",".00000","393.37000"
"168","Milk shake, low fat","1.00000","small shake (12 fl oz)",".00000",".00000",".00000",".51570",".00000",".00000","198.64000"
"169","Milk shake, low fat","1.00000","large shake (22 fl oz)",".00000",".00000",".00000",".94500",".00000",".00000","364.00000"
"170","Milk shake, low fat","1.00000","medium shake (16 fl oz)",".00000",".00000",".00000",".68580",".00000",".00000","264.16000"
"171","fruit smoothie made with milk","1.00000","commercial smoothie (20 fl oz)",".00000",".00000","1.41174",".56672",".00000",".00000","495.88000"
"172","fruit smoothie made with milk","1.00000","cup",".00000",".00000",".56358",".22624",".00000",".00000","197.96000"
"173","Chocolate flavored drink","1.00000","bottle (9 fl oz)",".00000",".00000",".00000",".04384",".00000",".00000","128.78000"
"174","Chocolate flavored drink","1.00000","drink box",".00000",".00000",".00000",".03904",".00000",".00000","114.68000"
"175","Meal replacement drink (Slim Fast)","1.00000","cup",".00000",".00000",".00000",".93000",".00000",".00000","173.60000"
"176","Dry milk powder, low fat",".25000","cup",".00000",".00000",".00000",".75000",".00000",".00000","109.80000"
"177","Meal replacement powder (Slim Fast)","1.00000","tablespoon",".03825",".00000",".00000",".15630",".00000",".00000","48.60000"
"178","Meal replacement powder (Slim Fast)","1.00000","scoop/dip",".08415",".00000",".00000",".34386",".00000",".00000","106.92000"
"179","Light cream","2.00000","Tablespoons (1 fl oz)",".00000",".00000",".00000",".00000",".00000",".00000","58.50000"
"180","Half & Half","2.00000","Tablespoons (1 fl oz)",".00000",".00000",".00000",".00000",".00000",".00000","39.26000"
"181","Half & Half","1.00000","individual container",".00000",".00000",".00000",".00000",".00000",".00000","19.50000"
"182","Whipped cream, sweetened",".25000","cup",".00000",".00000",".00000",".00000",".00000",".00000","103.53000"
"183","Coffee Mate (liquid)","2.00000","Tablespoons (1 fl oz)",".00000",".00000",".00000",".00000",".00000",".00000","40.80000"
"184","Coffee Mate Lite (liquid)","2.00000","Tablespoons (1 fl oz)",".00000",".00000",".00000",".00000",".00000",".00000","20.70000"
"185","Coffee Mate (powder)","1.00000","packet",".00000",".00000",".00000",".00000",".00000",".00000","16.38000"
"186","Sour cream","1.00000","individual container",".00000",".00000",".00000",".00000",".00000",".00000","64.20000"
"187","Sour cream, low fat or light","2.00000","Tablespoons",".00000",".00000",".00000",".00000",".00000",".00000","43.52000"
"188","Ground beef (80% lean)","1.00000","ounce after cooking",".00000",".00000",".00000",".00000",".89628",".00000","75.32000"
"189","Ground beef (80% lean)","1.00000","ounce raw (cooked yield)",".00000",".00000",".00000",".00000",".70422",".00000","59.18000"
"190","Ground beef (80% lean)","1.00000","large patty (3 per pound)",".00000",".00000",".00000",".00000","3.77718",".00000","317.42000"
"191","Ground beef (80% lean)","1.00000","medium meatball",".00000",".00000",".00000",".00000",".89628",".00000","75.32000"
"192","Ground beef (80% lean)","1.00000","small patty (5 per pound)",".00000",".00000",".00000",".00000","2.27271",".00000","190.99000"
"193","Ground beef (85% lean)","1.00000","medium patty (4 per pound)",".00000",".00000",".00000",".00000","3.15936",".00000","238.08000"
"194","Ground beef (85% lean)","1.00000","ounce after cooking",".00000",".00000",".00000",".00000",".92148",".00000","69.44000"
"195","Ground beef (85% lean)","1.00000","ounce raw (cooked yield)",".00000",".00000",".00000",".00000",".78984",".00000","59.52000"
"196","Ground beef (85% lean)","1.00000","large patty (3 per pound)",".00000",".00000",".00000",".00000","4.21248",".00000","317.44000"
"197","Ground beef (85% lean)","1.00000","medium meatball",".00000",".00000",".00000",".00000",".92148",".00000","69.44000"
